source_id,target_id,connected_date,strength
3879,2610,2020-11-05,0.7
4168,3266,2021-05-30,0.44
1163,209,2024-12-28,0.66
987,3675,2024-07-14,0.79
217,37,2023-03-15,0.63
4367,2201,2021-10-07,0.89
2216,501,2021-01-26,0.25
868,515,2021-12-25,0.72
2719,2906,2020-01-21,0.39
2220,1720,2024-01-14,0.79
823,4767,2023-08-03,0.19
1948,405,2022-11-25,0.87
3975,4844,2022-08-02,0.67
2138,3819,2023-05-24,0.98
3067,2059,2024-10-27,0.22
766,4111,2023-01-21,0.31
2084,2633,2023-12-05,0.94
897,4840,2021-01-04,0.76
61,2479,2024-04-29,0.59
4036,340,2022-06-02,0.54
3132,4707,2021-02-10,0.97
1921,1394,2023-04-21,0.63
4573,3523,2021-12-26,0.19
469,1360,2021-11-27,0.52
4448,2375,2022-06-06,0.35
4258,2733,2023-07-27,0.55
2944,4320,2022-12-22,0.27
4436,1408,2024-05-05,0.39
3582,3915,2020-10-03,0.46
1409,148,2024-02-23,0.56
3260,3951,2020-09-13,0.69
1379,2969,2021-09-16,0.93
2613,3058,2020-06-13,0.81
3210,1383,2023-02-11,0.24
1504,2871,2020-01-18,0.78
4369,1503,2021-12-23,0.76
3324,1377,2024-03-30,0.89
2457,3664,2020-12-18,0.6
1546,4825,2024-04-06,0.33
1477,105,2020-07-04,0.87
1389,1332,2021-05-18,0.93
715,2355,2023-03-12,0.62
4867,94,2024-06-01,0.11
3421,3232,2020-12-14,0.85
3633,326,2020-10-02,0.47
3,2149,2024-08-28,0.9
432,4758,2022-01-09,0.49
1517,547,2022-09-04,0.85
323,154,2024-01-08,0.31
614,409,2024-02-19,0.78
4710,1800,2021-05-18,0.43
1645,4414,2023-06-22,0.26
1314,2441,2024-09-08,0.52
712,4849,2021-03-31,0.44
48,384,2022-05-09,0.97
4333,1177,2022-08-02,0.54
306,2625,2022-03-30,0.35
909,3425,2024-08-28,0.86
3884,3572,2024-11-17,0.22
2306,1790,2023-12-22,0.57
2900,85,2020-01-31,0.62
1870,3794,2020-12-21,0.28
3471,739,2022-06-29,0.84
1202,1827,2023-10-10,0.2
1624,3362,2020-08-22,0.11
2122,2320,2023-12-30,0.18
3566,2455,2020-10-08,0.94
813,3188,2021-12-15,0.35
2357,953,2024-03-13,0.28
1464,3801,2022-08-20,0.69
3182,4288,2022-01-11,0.53
3443,260,2022-05-14,0.87
1708,2057,2023-05-22,0.36
369,2273,2024-12-07,0.49
570,3878,2021-11-02,0.87
820,4192,2023-02-01,0.5
709,4051,2023-06-23,0.65
1547,1413,2021-09-05,0.73
338,1382,2021-08-10,0.6
3648,2521,2021-06-30,0.79
638,4065,2020-12-10,0.3
2830,3510,2024-05-18,0.4
1609,4105,2024-08-14,0.45
2094,3676,2023-03-13,0.78
89,1356,2022-01-05,0.89
4392,3029,2024-03-06,0.3
1121,3425,2023-02-19,0.61
2301,3831,2020-12-20,0.28
3555,2181,2020-05-09,0.69
27,4880,2021-11-25,0.3
2763,2564,2022-09-13,0.77
2195,1429,2020-07-06,0.45
2282,1921,2021-10-19,0.8
4944,132,2024-09-06,0.82
4765,1806,2022-09-03,0.58
2146,3501,2020-04-12,0.37
3364,769,2021-08-24,0.3
4139,4281,2021-06-20,0.35
3745,420,2022-03-22,0.75
675,4442,2024-03-21,0.51
2879,3405,2021-06-09,0.91
3829,1077,2023-10-23,0.89
1916,3311,2023-02-07,0.93
551,3013,2023-09-11,0.37
714,4256,2022-02-02,0.83
4989,4680,2020-03-09,0.94
1222,3710,2022-08-31,0.93
1368,4726,2024-09-22,0.2
4236,2524,2021-11-16,0.14
3723,4605,2022-02-27,0.12
1935,2977,2022-04-23,0.78
3510,273,2021-11-22,0.91
1867,2032,2022-06-28,0.34
3481,4851,2022-11-08,0.32
222,3247,2022-09-16,0.68
1729,183,2024-08-01,0.46
986,4490,2020-10-04,0.26
1503,3446,2022-04-20,0.9
3895,4708,2023-08-08,0.35
666,133,2024-04-28,0.56
4163,4154,2022-06-01,0.4
4116,2700,2023-10-16,0.64
383,3173,2022-08-22,0.78
4692,3398,2021-02-22,0.37
1386,4220,2023-11-21,0.66
4127,3946,2022-03-29,0.12
2580,2644,2024-10-03,0.12
2480,4678,2020-10-09,0.23
967,3731,2020-04-30,0.34
4596,3462,2024-04-15,0.73
637,4466,2024-11-05,0.46
3628,244,2022-04-13,0.45
1531,502,2024-04-10,0.16
1335,4734,2023-10-16,0.91
122,3888,2021-01-27,0.95
4754,4763,2020-12-29,0.79
4170,657,2023-10-10,1.0
4396,1309,2022-10-01,0.21
1261,3430,2023-12-09,0.39
1672,1912,2022-08-07,0.18
50,4374,2022-05-16,0.84
2523,2150,2020-12-17,0.46
2392,1293,2020-03-02,0.29
4845,4388,2023-11-07,0.96
1921,714,2023-10-13,0.79
2678,2478,2023-11-08,0.99
4928,158,2020-08-19,0.35
4634,3429,2022-07-09,0.12
3117,4906,2021-01-02,0.16
2786,4413,2022-06-18,0.27
3014,2118,2023-05-28,0.58
2225,1901,2023-02-23,0.92
2277,2010,2024-07-20,0.15
1202,618,2022-08-12,0.75
915,3394,2022-08-23,0.55
46,3166,2023-07-22,0.44
2221,1817,2023-10-20,0.2
4323,4751,2024-11-03,0.78
425,844,2022-02-16,0.69
2070,4759,2024-01-20,0.69
4187,764,2021-11-03,0.1
3677,380,2020-08-22,0.53
4908,1279,2022-04-24,0.67
349,3656,2024-12-06,0.14
255,4204,2023-07-12,0.59
4241,538,2022-07-19,0.24
1231,4332,2020-12-05,0.64
3397,4508,2020-12-22,0.69
2425,2451,2024-09-21,0.57
248,158,2022-07-26,0.23
4159,4747,2021-11-25,0.96
1507,3826,2023-07-16,0.35
617,3433,2023-01-10,0.1
4853,921,2024-01-12,0.64
3153,903,2020-12-17,0.82
3328,3211,2020-09-28,0.11
272,4345,2020-09-30,0.86
1967,984,2022-07-23,0.15
1436,3452,2021-02-02,0.71
2168,2299,2021-07-05,0.3
4874,3126,2023-07-14,0.69
2074,2737,2022-12-04,0.71
3970,49,2020-06-15,0.26
2419,1169,2021-09-02,0.25
3064,1761,2022-04-15,0.64
4797,738,2020-11-15,0.96
3757,2984,2021-05-24,0.11
4517,2182,2023-03-13,0.51
482,2048,2023-06-03,0.44
3678,7,2020-09-27,0.93
2406,1985,2022-02-07,0.39
2526,345,2021-12-21,0.42
3481,2096,2022-10-23,0.78
4365,3602,2024-06-05,0.43
2281,134,2021-05-12,0.89
2229,4179,2023-01-24,0.23
2886,4670,2022-07-14,1.0
2038,4242,2022-01-26,0.35
3278,3368,2020-11-07,1.0
1042,1891,2022-05-26,0.13
3304,3798,2023-05-22,0.8
4334,3341,2021-08-04,0.63
1060,3055,2023-04-05,0.38
3970,1427,2020-10-03,0.77
2102,1524,2023-05-23,0.57
1512,1359,2022-04-21,0.61
1056,91,2022-02-25,0.48
596,3717,2023-03-11,0.63
1450,1550,2021-12-07,0.44
4834,4922,2023-09-08,0.84
4817,4942,2024-06-08,0.96
4491,2032,2021-03-17,0.39
4529,3912,2024-11-06,0.98
4555,4217,2022-08-08,0.74
3695,1535,2022-02-01,0.92
3554,102,2021-09-08,0.21
2088,4303,2020-12-19,0.14
2061,4981,2024-07-23,0.32
2682,1640,2023-05-20,0.58
1554,4912,2020-06-22,0.24
1033,3297,2020-01-21,0.13
545,2373,2021-09-01,0.14
3821,3268,2020-10-27,0.86
552,2499,2024-02-26,0.69
1859,277,2024-11-18,0.36
4621,580,2021-03-21,0.37
137,1673,2022-11-23,0.83
4061,2633,2020-11-07,0.91
4453,3851,2020-09-28,0.13
4425,3562,2023-08-12,0.39
3144,2435,2020-11-23,0.77
1110,2432,2020-01-24,0.4
1240,456,2022-11-28,0.26
2760,1902,2020-03-04,0.61
3969,3495,2022-05-26,0.65
839,2139,2023-02-18,0.92
3283,1025,2023-03-10,0.95
4467,279,2023-08-22,0.99
3032,3296,2022-12-29,0.22
36,698,2022-08-28,0.69
2016,23,2022-07-07,0.65
3351,824,2022-12-13,0.49
2730,3935,2020-11-09,0.78
2379,56,2021-09-26,0.32
2518,4021,2021-06-11,0.21
1339,2605,2021-04-06,0.97
1591,3950,2023-09-14,0.66
3316,795,2020-01-27,0.15
4016,4063,2021-02-06,0.68
601,4066,2021-12-17,0.16
3433,706,2024-03-31,0.62
1470,369,2020-10-27,0.73
4783,4896,2024-01-19,0.16
1625,4225,2022-09-18,0.27
3766,331,2021-01-23,0.37
1507,2408,2024-10-10,1.0
2254,3675,2021-08-09,0.59
1,2220,2022-10-07,0.49
3637,4379,2022-05-01,0.88
1848,2583,2020-05-14,0.93
43,3854,2022-04-26,0.39
4984,585,2024-05-29,0.52
280,4566,2024-10-13,0.8
2927,736,2022-09-16,0.73
1364,4410,2023-04-29,0.41
2196,2881,2022-02-24,0.27
2096,304,2023-05-24,0.83
4574,2901,2022-11-08,0.1
2838,4462,2024-02-28,0.17
782,2630,2024-09-06,0.51
2223,3215,2023-10-02,0.43
4934,959,2022-03-26,0.14
4030,3874,2020-01-06,0.15
93,4816,2021-05-18,0.9
104,2552,2021-10-15,0.9
961,4421,2021-07-19,0.99
2037,4950,2024-06-02,0.74
1226,1460,2020-06-15,0.82
198,1713,2023-04-20,0.44
1314,327,2021-05-03,0.56
4457,4544,2022-03-28,0.72
2284,173,2023-09-13,0.5
4428,102,2020-11-06,0.45
1290,4982,2023-11-30,0.4
3131,2315,2023-11-18,0.49
4918,1693,2024-11-10,0.28
1940,2807,2024-01-16,0.48
1640,455,2021-01-23,0.64
3838,2458,2021-06-23,0.87
4122,4156,2020-04-19,0.79
3539,3993,2020-03-28,0.56
4958,4575,2022-09-16,0.99
349,4888,2020-12-10,0.14
963,4911,2023-12-03,0.65
4431,2312,2024-11-07,0.3
753,1636,2023-10-26,0.87
1190,3194,2022-02-14,0.19
2747,4401,2021-07-18,0.6
4595,386,2021-12-03,0.25
3272,1975,2021-01-16,0.69
913,4867,2023-09-05,0.46
2419,3726,2024-06-23,0.72
1302,1203,2020-02-07,0.38
4921,3854,2023-10-20,0.11
3911,2234,2022-01-14,0.74
2428,3935,2024-01-27,0.73
465,4357,2023-10-22,0.9
1128,1612,2020-06-12,0.5
521,2370,2022-03-10,0.77
4689,2777,2024-02-02,0.32
2231,3451,2024-11-29,0.81
3175,3344,2020-09-27,0.89
1473,2034,2021-10-31,0.73
4721,3080,2020-01-06,0.43
112,1130,2024-03-14,0.45
4380,2468,2020-02-03,0.22
3983,4551,2022-07-07,0.11
3181,4235,2022-04-01,0.14
425,3223,2021-04-29,0.14
3243,1956,2022-06-07,0.85
3039,361,2020-09-21,0.76
719,3514,2021-06-28,0.85
4465,4815,2020-09-04,0.11
1773,4806,2020-03-30,0.63
1351,481,2024-07-07,0.77
237,1173,2022-01-17,0.22
4984,2149,2021-11-25,0.24
1639,3769,2024-03-30,0.43
3830,4895,2022-01-20,0.31
919,4707,2023-08-22,0.84
3215,342,2020-04-11,0.66
4370,3526,2020-03-29,0.22
3797,2858,2024-07-26,0.95
2419,2636,2021-06-11,0.83
4838,1123,2020-03-30,0.39
4562,4956,2021-07-30,0.72
2699,1845,2022-11-18,0.18
4567,134,2023-07-15,0.6
4490,4877,2022-03-08,0.41
2871,4337,2021-03-08,0.36
2319,2705,2022-03-26,0.98
1286,1376,2023-05-07,0.81
3040,1224,2020-09-09,0.54
4056,429,2021-10-06,0.73
3113,99,2021-04-25,0.97
3346,841,2024-07-18,0.48
1144,2537,2023-01-14,0.48
3668,86,2021-08-29,0.5
1264,3454,2022-04-11,0.11
1612,2895,2024-06-25,0.99
2999,4129,2022-01-17,0.12
3068,1631,2023-10-26,0.1
3615,1888,2023-10-23,0.75
739,3467,2022-10-14,0.83
2589,3468,2020-04-20,0.41
3605,4687,2020-05-06,0.44
1469,2095,2021-09-10,0.17
2010,4840,2021-10-30,0.38
4647,2174,2020-04-25,0.74
2165,2994,2021-03-13,0.19
2621,3831,2023-04-10,0.15
3771,1009,2023-03-18,0.94
655,4299,2023-07-29,0.62
3260,3562,2024-03-02,0.94
3315,4758,2021-03-15,0.49
3182,1009,2023-02-08,0.31
2641,4975,2022-10-10,0.34
4584,3769,2022-03-21,0.59
57,3066,2023-11-07,0.52
1522,1990,2024-03-07,0.72
3884,727,2023-01-15,0.34
49,822,2023-02-28,0.27
210,4944,2022-01-07,0.49
1982,1778,2021-01-23,0.87
1177,4946,2023-12-01,0.53
1092,1724,2023-03-04,1.0
3317,2369,2021-06-14,0.14
4594,1093,2021-10-21,0.32
1343,3235,2024-07-04,0.91
3770,3081,2023-06-18,0.87
1531,2116,2020-12-04,0.5
1940,1307,2021-04-03,0.75
2771,1153,2020-04-05,0.22
1494,178,2023-03-24,0.18
2,535,2022-05-16,0.66
1868,1436,2022-11-23,0.35
1133,1741,2021-08-31,0.55
579,4954,2023-04-25,0.57
4982,75,2024-06-25,0.71
2715,2631,2024-10-31,0.18
2202,2803,2020-09-16,0.91
472,3626,2021-10-24,0.49
4992,569,2021-02-17,0.6
1812,1019,2020-03-01,0.1
3223,2330,2021-05-18,0.29
1268,1510,2024-05-03,0.78
1234,1051,2022-10-06,0.5
3825,1789,2021-02-21,0.95
3393,4148,2023-12-04,0.96
3264,3292,2021-09-03,0.76
232,3629,2020-01-08,0.29
2962,429,2021-05-02,0.44
284,2745,2023-06-12,0.38
4125,2493,2020-10-04,0.67
695,308,2023-08-04,0.53
2438,440,2020-09-27,0.91
2214,152,2023-10-15,0.68
3559,3877,2024-05-19,0.78
4148,1369,2022-05-26,0.51
1129,3042,2023-03-11,0.93
3521,1310,2020-01-29,0.86
2008,3317,2021-01-25,0.82
2924,3306,2024-12-13,0.96
2150,3373,2024-02-01,0.16
4700,3669,2021-07-01,0.38
3979,4803,2021-03-03,0.19
1783,4810,2023-12-02,0.79
3969,4705,2024-09-13,0.59
2276,4901,2024-06-05,0.17
4905,4146,2022-05-25,0.13
2581,2569,2020-01-30,0.88
4893,1701,2020-10-19,0.84
3576,2430,2021-03-19,0.21
1823,4838,2021-06-10,0.9
831,1072,2020-07-25,0.24
4490,4799,2023-12-12,0.94
4372,612,2023-09-14,0.88
855,2700,2023-06-15,0.36
2781,1868,2021-05-30,0.11
600,1495,2023-11-03,0.51
1339,1127,2021-01-30,0.83
4351,2492,2022-10-16,0.37
1324,2794,2022-03-25,0.74
4129,4028,2020-05-11,0.86
4106,4312,2020-10-16,0.92
1055,1680,2022-07-11,0.57
4474,3958,2020-04-28,0.4
4479,2377,2020-05-18,0.45
406,3150,2023-11-29,0.17
1638,2093,2023-03-24,0.68
3284,2507,2022-08-15,0.77
4711,4911,2023-01-03,0.98
2221,3207,2020-02-20,0.78
2659,4222,2022-05-27,0.72
2207,4648,2024-05-06,0.82
1580,4437,2021-05-09,0.97
3644,1263,2021-02-16,0.46
978,416,2024-09-15,0.59
4702,1153,2022-05-04,0.18
3284,1085,2020-01-16,0.19
2644,2920,2021-10-14,0.76
4150,3329,2021-07-22,0.4
4283,3266,2021-10-22,0.4
2937,4044,2021-12-22,0.19
1411,2088,2022-08-21,0.49
47,57,2020-04-17,0.45
3657,2766,2022-12-03,0.81
3400,4350,2024-10-18,0.22
471,2928,2020-05-26,0.47
2891,2092,2021-10-27,0.2
1435,2103,2024-10-30,0.37
563,4197,2023-04-20,0.65
2426,41,2020-10-21,0.82
1653,1652,2022-12-19,0.47
4378,3489,2020-02-04,0.56
1912,2608,2024-08-07,0.52
344,521,2022-07-15,0.12
2009,3345,2021-02-01,0.14
2444,2194,2020-11-11,0.92
4200,3369,2020-05-04,0.26
2727,398,2023-01-12,0.65
4381,1830,2020-03-03,0.98
2278,567,2021-03-11,0.34
4739,100,2023-04-10,0.79
543,4976,2022-09-01,0.64
4718,3990,2020-10-03,0.86
2758,1253,2023-02-11,0.34
1719,2971,2022-03-08,0.65
4315,108,2021-09-03,0.39
347,3802,2021-02-23,0.42
3094,4032,2021-09-04,0.99
117,4695,2021-10-21,0.55
1825,4695,2021-05-29,0.71
2759,4789,2024-08-23,0.67
4494,370,2020-10-14,0.69
3541,9,2020-12-11,0.75
2056,2215,2020-10-28,0.69
363,1911,2020-07-03,0.42
4346,4920,2024-04-11,0.23
4265,2297,2023-06-04,0.86
144,3840,2021-01-26,0.86
1259,335,2021-04-10,0.19
3605,3767,2022-08-22,0.36
3579,3771,2022-01-12,0.65
932,2530,2020-05-16,0.56
3485,2190,2023-11-07,0.57
1303,1651,2020-01-08,0.55
1058,4968,2021-10-17,0.81
4260,3248,2023-11-27,0.56
2265,869,2023-03-14,0.48
2005,1801,2020-12-10,0.97
3518,256,2024-02-18,0.68
4495,3087,2024-01-07,0.66
2294,1358,2022-07-29,0.48
3937,2397,2022-11-23,0.29
3633,1577,2023-12-04,0.1
3301,1490,2024-09-23,0.63
709,3044,2020-07-07,0.98
4339,740,2022-08-17,0.59
1226,2416,2024-05-14,0.23
3126,2964,2024-08-09,0.41
2560,3395,2023-06-29,0.59
192,3444,2020-11-08,0.31
3770,1184,2021-03-26,0.69
976,3689,2023-07-03,0.55
4746,221,2020-11-06,0.9
1868,3863,2023-10-23,0.84
464,295,2023-12-21,0.83
3510,2592,2024-08-14,0.35
4442,3671,2020-04-23,0.7
4524,2299,2024-07-16,0.52
3659,4759,2021-10-23,0.73
579,3647,2022-05-11,0.55
2572,1660,2023-04-30,0.57
4462,4431,2023-07-02,0.72
3707,1722,2022-08-05,0.56
2890,4778,2020-05-12,0.39
4936,476,2023-02-16,0.62
3028,4178,2023-05-31,0.79
3200,1374,2022-04-09,0.84
1722,4142,2021-06-23,0.6
3632,3368,2021-02-24,0.57
1275,139,2023-11-04,0.53
650,1237,2021-05-02,0.63
892,1478,2020-08-22,0.94
4937,229,2023-07-18,0.86
723,4483,2024-12-04,0.83
818,1268,2023-03-07,0.68
4424,4285,2023-08-11,0.45
806,4185,2024-04-19,0.22
218,4002,2020-01-15,0.92
3179,4883,2020-03-16,0.89
386,3725,2023-04-15,0.22
3941,1203,2023-04-22,0.6
3176,4533,2023-05-27,0.9
1835,2252,2023-12-17,0.56
3578,2489,2023-05-29,0.91
379,1988,2024-01-01,0.38
3447,4021,2021-11-02,0.51
3390,4249,2024-05-22,0.76
1846,1565,2021-11-23,0.42
3655,109,2024-06-27,0.54
1935,832,2024-04-17,0.25
1787,821,2021-10-23,0.4
350,2608,2022-06-20,0.71
269,2929,2020-09-17,0.68
4300,3920,2023-06-19,0.64
1824,4232,2021-07-14,0.74
2296,2158,2020-04-01,0.38
4171,4403,2021-03-04,0.19
626,2551,2020-05-10,0.38
3960,422,2023-08-27,0.93
839,1249,2021-04-09,0.98
2644,404,2021-02-10,0.46
3637,933,2021-10-26,0.67
3224,4374,2023-05-17,0.17
307,4775,2023-08-01,0.49
3690,3657,2023-01-06,0.15
1165,1902,2023-08-01,0.98
2188,2926,2022-05-23,0.56
2158,3376,2022-08-26,0.62
2404,203,2024-04-08,0.99
3468,3501,2021-09-02,0.83
544,3539,2021-03-22,0.94
2616,3931,2021-03-23,0.78
4146,1707,2024-11-13,0.21
4771,4082,2022-01-19,0.51
1313,4927,2023-12-11,0.7
3598,1914,2020-08-01,0.56
4584,1708,2023-12-26,0.13
4628,727,2021-11-09,0.6
2493,1341,2024-08-09,0.3
1435,2459,2020-07-04,0.44
3055,566,2023-01-31,0.41
2084,4404,2021-05-21,0.62
3188,197,2022-08-13,0.92
2457,2390,2024-06-15,0.45
3858,2086,2022-03-07,0.26
1003,2830,2024-03-01,0.67
2923,4463,2021-08-03,0.69
3990,2194,2024-02-26,0.94
4996,942,2022-05-19,0.16
25,2759,2020-01-27,0.95
1357,631,2022-11-17,0.7
3314,4625,2023-02-04,0.16
2349,811,2021-04-11,0.81
2457,2241,2023-09-29,0.53
480,4840,2021-06-06,0.84
1667,3989,2024-07-18,0.5
212,1053,2023-04-26,0.83
1028,4392,2022-04-09,0.36
1978,1649,2024-04-27,0.94
1242,3480,2024-10-12,0.67
243,4712,2024-01-26,0.68
3150,1534,2020-08-26,0.6
1546,3405,2022-02-11,0.51
1009,4914,2024-03-08,0.44
3404,3391,2022-06-10,0.96
13,1144,2021-10-03,0.77
1971,2277,2020-12-22,0.83
263,1102,2024-06-12,0.86
1049,1095,2023-10-24,0.73
1804,2201,2023-06-10,0.63
325,593,2021-03-03,0.75
3469,4537,2021-03-28,0.9
4000,2934,2023-06-18,0.77
769,3886,2024-11-04,0.51
592,2683,2020-11-02,0.67
2262,3307,2020-09-03,0.35
221,1346,2021-03-08,0.32
2871,514,2022-07-26,0.37
3240,2954,2022-06-08,0.89
1148,3088,2024-07-24,0.15
4503,3144,2021-05-19,0.54
1051,3110,2021-03-22,0.16
4789,2923,2024-02-14,0.91
3125,2744,2021-12-30,0.62
1294,1497,2022-09-22,0.72
3078,2153,2024-07-20,0.18
4980,369,2020-02-23,0.29
4486,2650,2020-01-06,0.98
2741,2813,2020-05-10,0.76
1707,2221,2024-05-15,0.36
2096,4501,2022-03-28,0.53
1480,4370,2023-01-02,0.31
7,2464,2022-08-18,0.78
1913,542,2021-06-01,0.93
2261,3097,2024-02-06,0.77
686,3063,2023-11-07,0.53
4754,1622,2020-10-31,0.42
938,2136,2023-11-27,0.8
3752,4309,2022-11-24,0.52
2596,1751,2020-05-10,0.22
67,2372,2020-01-29,0.62
2339,1998,2022-06-21,0.55
3568,3481,2020-07-13,0.56
425,4329,2024-07-05,0.44
423,490,2020-07-23,0.75
4391,3936,2021-05-13,0.18
1689,4771,2020-06-21,0.39
532,2050,2021-04-13,0.49
4382,3380,2020-12-15,0.67
122,3981,2024-06-23,0.59
4496,3737,2020-07-18,0.14
3321,4297,2021-10-17,0.48
1056,2709,2024-04-07,0.51
434,3331,2023-08-08,0.59
19,1170,2024-11-03,0.49
4737,1622,2021-05-15,0.93
591,3050,2021-06-23,0.26
1608,101,2022-04-07,0.13
1513,1600,2020-04-21,0.27
4115,3537,2024-11-25,0.4
2746,155,2023-10-14,0.39
1132,1378,2021-08-13,0.77
786,2370,2024-06-02,0.24
3308,3350,2022-09-10,0.13
2581,618,2021-06-08,0.39
4824,4640,2020-10-17,0.12
3292,3477,2021-05-26,0.29
4255,1153,2020-09-20,0.22
1120,2277,2020-03-17,0.13
2618,1902,2024-11-14,0.98
1069,1509,2023-09-23,0.26
3052,3095,2020-10-13,0.69
784,380,2024-10-07,0.17
1702,2098,2022-12-30,0.38
1832,4718,2020-07-25,0.27
1428,2979,2021-01-06,0.57
957,1759,2020-11-20,0.32
4897,2083,2021-11-18,0.85
3373,2321,2021-11-13,0.21
2493,1522,2022-10-22,0.46
2441,4993,2022-06-25,0.49
41,1420,2021-06-24,0.63
3523,3518,2021-01-30,0.34
447,4779,2021-12-31,0.32
3718,3880,2023-07-04,0.91
1987,2267,2023-09-17,0.62
2954,1453,2023-06-27,0.52
1901,2919,2022-04-08,0.85
755,2742,2023-11-10,0.26
3143,3312,2022-01-29,0.83
4610,544,2021-07-01,0.54
3196,1292,2022-01-27,0.81
4186,497,2023-06-22,0.92
3412,2459,2020-08-03,0.34
3027,1796,2021-05-25,0.46
4765,3039,2020-11-22,0.36
3618,2219,2024-04-15,0.45
2604,1912,2021-11-23,0.29
4756,3341,2020-09-17,0.79
4724,4518,2024-12-24,0.41
2047,1263,2021-08-16,0.28
3181,4046,2023-04-28,0.24
846,2776,2022-08-30,0.17
3750,3428,2021-02-06,0.77
4482,1840,2021-10-25,0.34
2348,3366,2023-01-28,0.4
3516,2019,2023-10-01,0.62
3383,830,2022-03-16,0.76
1206,2426,2023-03-04,0.52
1937,4985,2024-03-20,0.9
4476,633,2022-04-30,0.19
1840,4097,2020-06-19,0.19
4222,1612,2023-11-23,0.52
240,2006,2020-02-17,0.55
1706,3883,2020-09-24,0.44
3863,1361,2024-05-06,0.85
34,782,2021-07-14,0.58
3471,3949,2023-02-08,0.91
157,4555,2020-10-13,0.45
2254,4701,2021-03-01,0.21
1004,2339,2022-03-26,0.81
4851,2440,2024-05-22,0.8
3252,1507,2021-10-24,0.68
1181,4737,2024-08-29,0.67
3184,2430,2021-12-06,0.78
1681,1567,2023-05-09,0.2
1137,4793,2024-10-28,0.83
2463,93,2021-03-16,0.46
4692,2149,2022-11-01,0.86
655,900,2021-01-06,0.68
3140,2394,2023-03-07,0.51
3359,3699,2023-10-08,0.12
4512,1837,2021-03-23,0.4
4916,909,2020-03-08,0.19
3192,881,2020-12-13,0.41
4680,226,2020-08-20,0.46
2023,4651,2023-05-17,0.34
4794,278,2024-04-08,0.78
1595,1855,2021-04-19,0.34
2228,1765,2022-09-02,0.93
3435,3949,2023-09-07,0.82
2242,4371,2024-06-15,0.19
374,4615,2023-01-22,0.82
2174,726,2024-01-31,0.16
583,3557,2022-10-07,0.64
309,606,2021-05-29,0.92
747,850,2022-03-31,0.11
2318,4738,2023-09-02,0.74
681,205,2020-04-07,0.86
1324,317,2020-11-04,0.58
3418,3417,2020-08-31,0.46
4459,271,2024-03-11,0.97
